YearsFromRegistration,powerPS,kilometer,abtest_test,vehicleType_cabrio,vehicleType_coupe,vehicleType_limousine,vehicleType_others,vehicleType_small car,vehicleType_station wagon,vehicleType_suv,fuelType_diesel,fuelType_electro,fuelType_hybrid,fuelType_lpg,fuelType_other,fuelType_petrol,gearbox_manual,notRepairedDamage_yes,brand_encoded,monthOfRegistration_Q2,monthOfRegistration_Q3,monthOfRegistration_Q4,price
15,65,90000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,0,1,0,799
27,125,90000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2800
13,105,125000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,38,0,0,1,9300
24,90,150000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,1,1000
23,116,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,1,0,0,875
13,105,100000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,1,10600
17,387,50000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,34000
22,50,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,30,0,1,0,950
15,65,125000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,27,0,1,0,3650
22,102,100000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,27,1,0,0,1699
14,60,90000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,25,0,0,1,4750
21,50,125000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,30,0,0,1,1250
17,140,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,7450
16,110,150000,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,4200
24,60,150000,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,24,0,0,1,999
29,88,40000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,36,0,1,0,1999
17,80,70000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,24,0,1,0,4500
14,110,50000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,27,0,0,0,6100
